First_Name,Last_Name,Season,Position,Team_End_Season,Shot,Shot2,height_in,weight_lbs,Signing Age,Length,AAV,Expiry_Age,Expiry Status,next_length,next_aav,pred_length,pred_AAV,GP,G,A,P,PIM,GF_pct,CF_pct,TOI_5x5,TOI_PP,TOI_PK,EVO_GAR,EVD_GAR,PPO_GAR,SHD_GAR,Take_GAR,Draw_GAR,Cap_Ceiling,AAV_pct_cap,Next_Cap_Ceiling,next_AAV_pct_cap,pred_AAV_pct_cap,Team,Draft_Position_Raw,Undrafted
Michael,Carcone,2025,Center,UTA,1,Left,69,183,27,2,"$775,000",29,UFA,1,"$775,000",1,"$928,066",53,7,12,19,36,47,54,10.58,0.72,0,4.7,-2.3,-0.2,0,0,0.3,"$88,000,000",0.9%,"$95,500,000",0.8%,1.0%,UTA,250,1
Kailer,Yamamoto,2025,Winger,UTA,0,Right,69,179,26,1,"$775,000",27,UFA no QO,1,"$775,000",1,"$721,104",12,2,1,3,2,40,61,11.17,0.67,0.02,-1.9,1,0.6,0,0.1,0.5,"$88,000,000",0.9%,"$95,500,000",0.8%,0.8%,UTA,22,0
Jesper,Boqvist,2025,Center,FLA,1,Left,72,190,25,1,"$775,000",26,RFA+ARB,2,"$1,500,000",1,"$1,575,963",78,12,11,23,14,44,51,11.77,0.1,1.18,1.8,-2.6,-0.2,1.7,1.2,0,"$88,000,000",0.9%,"$95,500,000",1.6%,1.7%,FLA,36,0
Nick,Desimone,2025,Defenseman,UTA,0,Right,74,194,29,1,"$775,000",30,UFA,1,"$800,000",1,"$897,045",20,1,5,6,0,61,52,14.98,0,0.38,-0.1,1,0,-0.2,0.6,-0.3,"$88,000,000",0.9%,"$95,500,000",0.8%,0.9%,UTA,250,1
Adam,Boqvist,2025,Defenseman,NYI,0,Right,72,190,23,1,"$775,000",24,RFA+ARB,1,"$850,000",1,"$928,761",35,4,10,14,10,47,50,11.7,1.97,0.05,1.5,-2.8,1.7,0,0.1,-0.3,"$88,000,000",0.9%,"$95,500,000",0.9%,1.0%,FLA/NYI,8,0
Oskar,Back,2025,Center,DAL,1,Left,76,207,24,1,"$775,000",25,RFA+ARB,2,"$825,000",2,"$1,012,105",73,4,12,16,8,48,51,10.13,0.03,1.43,-3.8,2.7,0,-0.8,1,0,"$88,000,000",0.9%,"$95,500,000",0.9%,1.1%,DAL,75,0
Linus,Karlsson,2025,Winger,VAN,0,Right,73,179,24,1,"$775,000",25,UFA-Group6,1,"$775,000",1,"$806,263",23,3,3,6,6,66,50,9.98,0.82,0,1.9,0.3,0.1,0,0.4,-0.3,"$88,000,000",0.9%,"$95,500,000",0.8%,0.8%,VAN,87,0
Cole,Koepke,2025,Winger,BOS,1,Left,73,203,26,1,"$775,000",27,UFA,1,"$1,000,000",2,"$952,627",73,10,7,17,17,50,45,10.37,0.05,0.7,2.7,2.8,0,-1.1,0.7,-0.1,"$88,000,000",0.9%,"$95,500,000",1.0%,1.0%,BOS,183,0
Colin,Blackwell,2025,Center,DAL,0,Right,68,181,31,1,"$775,000",32,UFA,2,"$775,000",2,"$1,042,159",63,6,11,17,16,51,52,9.52,0.05,1.8,2.3,1.6,0,0,0,0.9,"$88,000,000",0.9%,"$95,500,000",0.8%,1.1%,DAL,193,0
Jake,Christiansen,2025,Defenseman,CBJ,1,Left,72,198,24,1,"$775,000",25,RFA+ARB,2,"$975,000",2,"$835,016",68,1,7,8,11,54,44,11.83,0.02,0.4,3.4,-1.7,0,0.2,1.2,-0.7,"$88,000,000",0.9%,"$95,500,000",1.0%,0.9%,CBJ,250,1
Brayden,Pachal,2025,Defenseman,CGY,0,Right,74,203,23,2,"$775,000",25,RFA+ARB,2,"$1,187,500",2,"$1,384,249",76,3,9,12,88,53,51,12.87,0.02,1.22,2.1,-2.3,0,-0.4,-1.6,0.5,"$88,000,000",0.9%,"$95,500,000",1.2%,1.4%,CGY,250,1
Justin,Brazeau,2025,Winger,MIN,0,Right,77,220,26,2,"$775,000",28,UFA,2,"$1,500,000",2,"$1,330,604",76,11,11,22,18,46,48,10.55,1.15,0.02,-0.2,-2.5,-0.7,0,1.3,-0.3,"$88,000,000",0.9%,"$95,500,000",1.6%,1.4%,BOS/MIN,250,1
Joel,Kiviranta,2025,Winger,COL,1,Left,71,185,28,1,"$775,000",29,UFA,1,"$1,250,000",1,"$1,376,496",79,16,7,23,20,55,52,10.85,0.05,1.38,3.5,3.1,0,-0.8,0.3,-0.5,"$88,000,000",0.9%,"$95,500,000",1.3%,1.4%,COL,250,1
Albert,Johansson,2025,Defenseman,DET,1,Left,72,194,23,1,"$775,000",24,RFA+ARB,2,"$1,125,000",2,"$1,118,511",61,3,6,9,30,43,48,15.58,0.07,0.42,-3.1,0.3,0,0.5,0.6,0.5,"$88,000,000",0.9%,"$95,500,000",1.2%,1.2%,DET,60,0
Gage,Goncalves,2025,Center,TB,1,Left,73,190,23,1,"$775,000",24,UFA no QO,2,"$1,200,000",2,"$1,034,439",60,8,12,20,14,55,49,12.17,0.45,0,3.4,0.9,0.3,0,0.5,-0.1,"$88,000,000",0.9%,"$95,500,000",1.3%,1.1%,T.B,62,0
Adam,Wilsby,2025,Defenseman,NSH,1,Left,73,192,23,1,"$775,000",24,RFA+ARB,2,"$775,000",2,"$895,068",23,1,4,5,6,50,52,16.2,0.03,1.43,1.4,5,0,1.2,0.2,0.1,"$88,000,000",0.9%,"$95,500,000",0.8%,0.9%,NSH,101,0
Cole,Reinhardt,2025,Winger,OTT,1,Left,73,207,24,1,"$775,000",25,UFA-Group6,2,"$812,500",1,"$758,921",17,1,1,2,15,33,44,8.2,0,0,0.2,-0.8,0,0,-0.5,-0.3,"$88,000,000",0.9%,"$95,500,000",0.9%,0.8%,OTT,181,0
Louis,Crevier,2025,Defenseman,CHI,0,Right,80,227,23,1,"$775,000",24,RFA+ARB,2,"$900,000",2,"$1,082,628",32,3,1,4,10,41,41,15.6,0.05,1.35,-0.4,2.4,0,-1.1,0.3,-0.4,"$88,000,000",0.9%,"$95,500,000",0.9%,1.1%,CHI,188,0
Alex,Steeves,2025,Center,TOR,1,Left,72,198,24,1,"$775,000",25,UFA-Group6,1,"$850,000",1,"$855,814",7,1,1,2,0,100,48,9.6,0.23,0,0.8,0.5,0,0,0.1,0,"$88,000,000",0.9%,"$95,500,000",0.9%,0.9%,TOR,250,1
Ben,Meyers,2025,Center,SEA,1,Left,71,194,25,1,"$775,000",26,RFA+ARB,1,"$775,000",1,"$870,724",8,0,0,0,2,25,40,8.33,0,0,-1,-0.5,0,0,-0.1,-0.1,"$88,000,000",0.9%,"$95,500,000",0.8%,0.9%,SEA,250,1
Adam,Klapka,2025,Winger,CGY,0,Right,80,236,23,1,"$775,000",24,RFA+ARB,2,"$1,250,000",2,"$1,102,599",28,4,2,6,27,48,48,10.3,0.27,0,2.4,1.6,-0.1,0,-0.5,0,"$88,000,000",0.9%,"$95,500,000",1.3%,1.2%,CGY,250,1
Nikolas,Matinpalo,2025,Defenseman,OTT,0,Right,75,212,25,1,"$775,000",26,RFA+ARB,2,"$875,000",2,"$777,187",41,1,3,4,20,47,48,12.52,0,0.03,-1.3,-0.5,0,0,-0.4,0.1,"$88,000,000",0.9%,"$95,500,000",0.9%,0.8%,OTT,250,1
Marc,Gatcomb,2025,Center,NYI,0,Right,74,194,24,1,"$775,000",25,RFA+ARB,1,"$900,000",2,"$973,922",39,8,1,9,11,43,48,9.7,0.05,0,1.6,-0.6,0,0,0.5,-0.5,"$88,000,000",0.9%,"$95,500,000",0.9%,1.0%,NYI,250,1
Johnathan,Kovacevic,2025,Defenseman,NJ,0,Right,77,223,25,3,"$766,667",28,UFA,5,"$4,000,000",5,"$3,823,050",81,1,16,17,72,52,51,16.83,0.07,2.37,0.1,9.3,0,0.6,-0.4,-0.4,"$88,000,000",0.9%,"$95,500,000",4.2%,4.0%,N.J,74,0
Auston,Matthews,2024,Center,TOR,1,Left,75,216,21,5,"$11,640,250",26,UFA,4,"$13,250,000",5,"$13,103,043",81,69,38,107,20,60,54,15.8,3.25,0.68,19.3,3.5,5.3,1.5,2.9,0,"$83,500,000",13.9%,"$88,000,000",15.1%,14.9%,TOR,1,0
Anze,Kopitar,2024,Center,LA,1,Left,76,225,28,8,"$10,000,000",36,UFA,2,"$7,000,000",2,"$6,971,008",81,26,44,70,22,56,53,13.88,2.93,1.7,7.6,2.4,2,-2.1,2.6,-1,"$83,500,000",12.0%,"$88,000,000",8.0%,7.9%,L.A,11,0
Steven,Stamkos,2024,Center,TB,0,Right,73,194,26,8,"$8,500,000",34,UFA,4,"$8,000,000",4,"$7,833,896",79,40,41,81,34,44,49,13.62,3.5,0.03,2.3,-3.9,6.5,0,0.7,-0.6,"$83,500,000",10.2%,"$88,000,000",9.1%,8.9%,T.B,1,0
Sebastian,Aho,2024,Center,CAR,1,Left,72,190,21,5,"$8,460,250",26,UFA,8,"$9,750,000",8,"$9,663,331",78,36,53,89,36,65,56,14.18,2.75,1.7,12.2,-1.2,4,0.8,0.5,-0.8,"$83,500,000",10.1%,"$88,000,000",11.1%,11.0%,CAR,35,0
Sebastian,Aho,2024,Center,NYI,1,Left,72,190,21,5,"$8,460,250",26,UFA,8,"$9,750,000",8,"$9,883,556",78,36,53,89,36,65,56,14.18,2.75,1.7,-5.9,-2.8,-0.9,-0.8,1.2,1.3,"$83,500,000",10.1%,"$88,000,000",11.1%,11.2%,NYI,35,0
Elias,Pettersson,2024,Center,VAN,1,Left,74,185,22,3,"$7,350,000",25,RFA+ARB,8,"$11,600,000",8,"$11,625,885",82,34,55,89,12,58,53,13.55,3.6,1.35,17.2,0.2,4.6,1,2.3,2,"$83,500,000",8.8%,"$88,000,000",13.2%,13.2%,VAN,5,0
William,Nylander,2024,Center,TOR,0,Right,72,201,22,6,"$6,962,366",28,UFA,8,"$11,500,000",8,"$11,490,709",82,40,58,98,24,49,51,14.6,3.2,0.93,6.4,-3,5.4,-0.8,1.4,0.4,"$83,500,000",8.3%,"$88,000,000",13.1%,13.1%,TOR,8,0
Sam,Reinhart,2024,Center,FLA,0,Right,74,194,25,3,"$6,500,000",28,UFA,8,"$8,625,000",8,"$8,665,353",82,57,37,94,31,63,57,13.28,3.58,2.1,11.1,6.5,4,-0.2,1.4,-1.8,"$83,500,000",7.8%,"$88,000,000",9.8%,9.8%,FLA,2,0
Mark,Scheifele,2024,Center,WPG,0,Right,75,207,23,8,"$6,125,000",31,UFA,7,"$8,500,000",6,"$8,490,042",74,25,47,72,57,56,47,16.28,3.05,0.05,9.1,-7.2,1.7,-0.1,1.8,1.5,"$83,500,000",7.3%,"$88,000,000",9.7%,9.6%,WPG,7,0
Tyler,Myers,2024,Defenseman,VAN,0,Right,80,229,29,5,"$6,000,000",34,UFA,3,"$3,000,000",3,"$3,101,859",77,5,24,29,77,54,48,15.88,0.28,2.15,1.4,-1.2,-0.6,-0.7,-3.3,-0.4,"$83,500,000",7.2%,"$88,000,000",3.4%,3.5%,VAN,12,0
Mats,Zuccarello,2024,Winger,MIN,1,Left,68,181,31,5,"$6,000,000",36,UFA,2,"$4,125,000",2,"$4,176,301",69,12,51,63,30,53,50,14.23,3.82,0.03,3.1,3.9,5.2,0,0.6,0.6,"$83,500,000",7.2%,"$88,000,000",4.7%,4.7%,MIN,250,1
Jake,Guentzel,2024,Winger,PIT,1,Left,71,176,24,5,"$6,000,000",29,UFA,7,"$9,000,000",7,"$9,231,909",67,30,47,77,22,57,56,15.63,3.25,0.05,9.2,-0.9,2.1,0,1.3,1.1,"$83,500,000",7.2%,"$88,000,000",10.2%,10.5%,CAR/PIT,77,0
Rasmus,Dahlin,2024,Defenseman,BUF,1,Left,75,203,21,3,"$6,000,000",24,RFA+ARB,8,"$11,000,000",8,"$10,946,052",81,20,39,59,66,50,54,20.2,2.82,1.1,-1.8,3.5,1.7,0.1,0.3,1.2,"$83,500,000",7.2%,"$88,000,000",12.5%,12.4%,BUF,1,0
Adam,Henrique,2024,Center,EDM,1,Left,72,194,28,5,"$5,825,000",33,UFA,2,"$3,000,000",2,"$3,245,138",82,24,27,51,37,55,48,12.33,1.8,1.98,8.3,-2.2,3.9,0.1,1.4,-1.1,"$83,500,000",7.0%,"$88,000,000",3.4%,3.7%,ANA/EDM,82,0
Anthony,Mantha,2024,Winger,WSH,1,Left,77,234,26,4,"$5,700,000",30,UFA,1,"$3,500,000",2,"$3,638,453",74,23,21,44,25,58,52,12.42,1.6,0,12.1,4.9,1.1,0,0.8,-1.3,"$83,500,000",6.8%,"$88,000,000",4.0%,4.1%,VGK/WSH,20,0
Jordan,Eberle,2024,Winger,SEA,0,Right,71,190,29,5,"$5,500,000",34,UFA,2,"$4,750,000",3,"$4,628,560",78,17,27,44,17,58,54,14.2,2.5,0.02,9.1,3,-1.1,0,2,-0.8,"$83,500,000",6.6%,"$88,000,000",5.4%,5.3%,SEA,22,0
Tyler,Bertuzzi,2024,Winger,TOR,1,Left,74,201,28,1,"$5,500,000",29,UFA,4,"$5,500,000",3,"$5,577,891",80,21,22,43,53,55,54,14.07,1.48,0.02,5.5,-0.6,3.1,0,0,0.4,"$83,500,000",6.6%,"$88,000,000",6.3%,6.3%,TOR,58,0
Teuvo,Teravainen,2024,Center,CAR,1,Left,71,192,24,5,"$5,400,000",29,UFA,3,"$5,400,000",4,"$5,346,898",76,25,28,53,10,56,59,12.17,2.13,1.65,1.1,2.3,1,3.2,1.9,-1.8,"$83,500,000",6.5%,"$88,000,000",6.1%,6.1%,CAR,18,0
Mikael,Backlund,2024,Center,CGY,1,Left,72,207,28,6,"$5,350,000",34,UFA,2,"$4,500,000",2,"$4,330,800",82,15,24,39,24,45,54,14.25,1.75,2.28,0.7,1.1,-0.9,0.3,1.7,-1.7,"$83,500,000",6.4%,"$88,000,000",5.1%,4.9%,CGY,24,0
Jason,Zucker,2024,Winger,NSH,1,Left,71,198,31,1,"$5,300,000",32,UFA,1,"$5,000,000",2,"$4,646,546",69,14,18,32,81,47,48,11.92,1.57,0.02,2.6,-0.4,0.9,0,-0.3,0.3,"$83,500,000",6.3%,"$88,000,000",5.7%,5.3%,ARI/NSH,59,0
Alec,Martinez,2024,Defenseman,VGK,1,Left,73,209,34,3,"$5,250,000",37,UFA,1,"$4,000,000",1,"$3,800,674",55,4,13,17,6,48,44,16.72,0.65,1.18,4.5,0.8,1,-0.1,1.7,-0.2,"$83,500,000",6.3%,"$88,000,000",4.5%,4.3%,VGK,95,0
Brady,Skjei,2024,Defenseman,CAR,1,Left,75,209,24,6,"$5,250,000",30,UFA,7,"$7,000,000",7,"$7,140,982",80,13,34,47,40,52,57,17.32,0.95,2.1,0.1,0.9,4.7,1.6,0.2,0.6,"$83,500,000",6.3%,"$88,000,000",8.0%,8.1%,CAR,28,0
Jakub,Vrana,2024,Winger,STL,1,Left,72,196,25,3,"$5,250,000",28,UFA,1,"$775,000",1,"$639,402",21,2,4,6,8,37,42,10.38,1.6,0,1.4,-3.9,-1.5,0,-0.2,-0.4,"$83,500,000",6.3%,"$88,000,000",0.9%,0.7%,STL,13,0
Tom,Wilson,2024,Winger,WSH,0,Right,76,220,24,6,"$5,166,666",30,UFA,7,"$6,500,000",6,"$6,467,021",74,18,17,35,133,35,50,13.48,2.1,1.72,-5.3,2.4,0.6,-3.2,-2.6,2.2,"$83,500,000",6.2%,"$88,000,000",7.4%,7.3%,WSH,16,0
Vladimir,Tarasenko,2024,Winger,OTT,1,Left,72,218,31,1,"$5,000,000",32,UFA,2,"$4,750,000",2,"$4,676,026",76,23,32,55,12,55,50,12.77,2.32,0.02,12.7,-6.9,-1.2,0,2,-1.6,"$83,500,000",6.0%,"$88,000,000",5.4%,5.3%,FLA/OTT,16,0
Jonathan,Marchessault,2024,Winger,VGK,0,Right,69,185,27,6,"$5,000,000",33,UFA,5,"$5,500,000",5,"$5,507,762",82,42,27,69,40,55,49,13.7,3.38,0.02,6.1,-1.6,0.8,0,0.2,-1.1,"$83,500,000",6.0%,"$88,000,000",6.3%,6.3%,VGK,250,1
Noah,Hanifin,2024,Defenseman,VGK,1,Left,75,216,21,6,"$4,950,000",27,UFA,8,"$7,350,000",8,"$7,498,262",80,13,34,47,24,55,51,18.4,1.75,2.2,9,4,0.3,-1.1,2,-0.7,"$83,500,000",5.9%,"$88,000,000",8.4%,8.5%,CGY/VGK,5,0
Elias,Lindholm,2024,Center,VAN,0,Right,73,201,23,6,"$4,850,000",29,UFA,7,"$7,750,000",7,"$7,672,121",75,15,29,44,25,45,48,13.6,2.75,2.18,0.9,-1.2,-4.3,0,1.5,-1.4,"$83,500,000",5.8%,"$88,000,000",8.8%,8.7%,CGY/VAN,5,0
David,Perron,2024,Winger,DET,0,Right,73,203,34,2,"$4,750,000",36,UFA,2,"$4,000,000",1,"$3,851,586",76,17,30,47,55,45,46,12.18,2.77,0,2,-1.2,2.8,0,-0.5,-1,"$83,500,000",5.7%,"$88,000,000",4.5%,4.4%,DET,26,0
Victor,Olofsson,2024,Winger,BUF,1,Left,71,181,26,2,"$4,750,000",28,UFA,1,"$1,075,000",1,"$1,199,823",51,7,8,15,4,50,47,10.08,1.23,0,2,-1.8,-1.2,0,0.8,-0.1,"$83,500,000",5.7%,"$88,000,000",1.2%,1.4%,BUF,181,0
Kevin,Labanc,2024,Winger,SJ,0,Right,71,185,24,4,"$4,725,000",28,UFA,1,"$775,000",1,"$707,730",46,2,7,9,16,20,46,10.57,0.85,0,-2.3,-2.1,0.1,0,-0.1,-0.4,"$83,500,000",5.7%,"$88,000,000",0.9%,0.8%,S.J,171,0
Chris,Tanev,2024,Defenseman,DAL,0,Right,74,201,30,4,"$4,500,000",34,UFA,6,"$4,500,000",5,"$4,268,791",75,2,17,19,24,55,52,16.48,0.05,2.35,2.2,6.8,0,-0.2,0.8,-0.2,"$83,500,000",5.4%,"$88,000,000",5.1%,4.9%,CGY/DAL,250,1
Alex,Wennberg,2024,Center,SEA,1,Left,73,190,26,3,"$4,500,000",29,UFA,2,"$5,000,000",3,"$5,026,263",79,10,20,30,14,52,49,13.47,1.73,2,6.5,2.6,3.3,-5.9,2,0.7,"$83,500,000",5.4%,"$88,000,000",5.7%,5.7%,NYR/SEA,14,0
Filip,Hronek,2024,Defenseman,VAN,0,Right,72,187,23,3,"$4,400,000",26,RFA+ARB,8,"$7,250,000",8,"$7,454,639",81,5,43,48,38,60,54,18.78,1.63,1.9,9.8,-1.4,2.4,-1.3,1.1,0.4,"$83,500,000",5.3%,"$88,000,000",8.2%,8.5%,VAN,53,0
Tyler,Toffoli,2024,Winger,WPG,0,Right,72,203,28,4,"$4,250,000",32,UFA,4,"$6,000,000",4,"$5,895,378",79,33,22,55,14,51,56,13.07,3.07,0.02,9.2,-2.4,3.8,0,1.7,-0.6,"$83,500,000",5.1%,"$88,000,000",6.8%,6.7%,N.J/WPG,47,0
Viktor,Arvidsson,2024,Winger,LA,0,Right,70,181,24,7,"$4,250,000",31,UFA,2,"$4,000,000",2,"$3,907,075",18,6,9,15,14,60,53,12.73,3.05,0.02,1.8,-0.3,1,0,-0.4,0.3,"$83,500,000",5.1%,"$88,000,000",4.5%,4.4%,L.A,112,0
John,Klingberg,2024,Defenseman,TOR,0,Right,73,185,30,1,"$4,150,000",31,UFA,1,"$1,755,056",1,"$1,913,830",14,0,5,5,8,39,52,16.58,3.22,0,-0.4,-3.6,-0.2,0,-0.1,-0.1,"$83,500,000",5.0%,"$88,000,000",2.0%,2.2%,TOR,131,0
Anthony,Beauvillier,2024,Center,VAN,1,Left,71,181,24,3,"$4,150,000",27,UFA,1,"$1,250,000",2,"$1,397,512",60,5,12,17,8,42,46,12.22,1.1,0.02,-2,-0.8,0.7,0,1.1,-0.8,"$83,500,000",5.0%,"$88,000,000",1.4%,1.6%,CHI/NSH/VAN,28,0
Shayne,Gostisbehere,2024,Defenseman,DET,1,Left,71,183,30,1,"$4,125,000",31,UFA,3,"$3,200,000",3,"$3,314,354",81,10,46,56,16,47,49,14.72,3.15,0.33,-5.2,0.1,4.3,1.2,2.7,2.3,"$83,500,000",4.9%,"$88,000,000",3.6%,3.8%,DET,78,0
Devon,Toews,2024,Defenseman,COL,1,Left,73,192,26,4,"$4,100,000",30,UFA,7,"$7,250,000",7,"$7,308,366",82,12,38,50,18,56,54,18.22,1.58,2.72,6.3,3.9,-0.5,-2.1,2.7,0,"$83,500,000",4.9%,"$88,000,000",8.2%,8.3%,COL,108,0
Brett,Pesce,2024,Defenseman,CAR,0,Right,75,205,22,6,"$4,025,000",28,UFA,6,"$5,500,000",6,"$4,947,309",70,3,10,13,20,47,57,17.28,0.13,2.23,1.1,0.3,-0.1,1.4,1.2,-0.2,"$83,500,000",4.8%,"$88,000,000",6.3%,5.6%,CAR,66,0
Nick,Foligno,2024,Winger,CHI,1,Left,72,209,35,1,"$4,000,000",36,UFA,2,"$4,500,000",2,"$4,352,273",74,17,20,37,57,38,44,13.25,2.4,1.3,3.1,-0.1,4.3,1.8,0.1,-0.6,"$83,500,000",4.8%,"$88,000,000",5.1%,4.9%,CHI,28,0
Nino,Niederreiter,2024,Winger,WPG,1,Left,74,218,29,2,"$4,000,000",31,UFA,3,"$4,000,000",2,"$4,099,875",77,18,16,34,34,60,53,12.8,1.77,0.02,1.8,2.6,-0.6,0,-0.4,0.8,"$83,500,000",4.8%,"$88,000,000",4.5%,4.7%,WPG,5,0
Jake,Debrusk,2024,Winger,BOS,1,Left,73,198,25,2,"$4,000,000",27,UFA,7,"$5,500,000",6,"$5,014,489",80,19,21,40,18,56,49,12.97,1.63,1.5,1.5,0.3,1.8,0,1.8,-1.2,"$83,500,000",4.8%,"$88,000,000",6.3%,5.7%,BOS,14,0
Jack,Roslovic,2024,Center,NYR,0,Right,73,194,25,2,"$4,000,000",27,UFA,1,"$2,800,000",2,"$3,080,250",59,9,22,31,16,47,51,13.33,0.85,0.75,3.9,-0.2,1.1,0.3,0.8,-0.3,"$83,500,000",4.8%,"$88,000,000",3.2%,3.5%,CBJ/NYR,25,0
Brenden,Dillon,2024,Defenseman,WPG,1,Left,76,225,29,4,"$3,900,000",33,UFA,3,"$4,000,000",3,"$4,020,046",77,8,12,20,92,55,48,15.92,0.13,2.1,1.4,0.7,-0.3,-0.3,-0.1,-1.1,"$83,500,000",4.7%,"$88,000,000",4.5%,4.6%,WPG,250,1
Nikita,Zadorov,2024,Defenseman,VAN,1,Left,79,256,27,2,"$3,750,000",29,UFA,6,"$5,000,000",5,"$4,894,126",75,6,14,20,125,50,51,15.33,0.12,1.53,-2.1,2.3,-0.1,-1.5,-2.6,-0.3,"$83,500,000",4.5%,"$88,000,000",5.7%,5.6%,CGY/VAN,16,0
Matt,Grzelcyk,2024,Defenseman,BOS,1,Left,70,181,26,4,"$3,687,500",30,UFA,1,"$2,750,000",3,"$2,432,656",63,2,9,11,37,58,45,16,0.13,0.85,-0.7,-5.2,-0.1,0.1,0.2,-0.8,"$83,500,000",4.4%,"$88,000,000",3.1%,2.8%,BOS,85,0
Joel,Edmundson,2024,Defenseman,WSH,1,Left,77,220,27,4,"$3,500,000",31,UFA,4,"$3,850,000",3,"$3,472,726",53,1,5,6,23,49,48,14.7,0.02,1.68,2.2,-2.4,0,1,0.4,-0.4,"$83,500,000",4.2%,"$88,000,000",4.4%,3.9%,TOR/WSH,46,0
Brandon,Montour,2024,Defenseman,FLA,0,Right,72,194,27,3,"$3,500,000",30,UFA,7,"$7,142,857",7,"$6,842,851",66,8,25,33,46,52,55,17.9,3.68,0.62,-1.5,2.3,3.1,1.4,1.2,-0.2,"$83,500,000",4.2%,"$88,000,000",8.1%,7.8%,FLA,55,0
Erik,Johnson,2024,Defenseman,PHI,0,Right,76,225,35,1,"$3,250,000",36,UFA,1,"$1,000,000",1,"$1,047,396",67,5,1,6,26,38,47,11.85,0,2.33,-2.7,-1.4,0,-1.3,1.4,0,"$83,500,000",3.9%,"$88,000,000",1.1%,1.2%,BUF/PHI,1,0
Tanner,Pearson,2024,Winger,MTL,1,Left,73,201,28,3,"$3,250,000",31,UFA,1,"$775,000",1,"$952,378",54,5,8,13,21,37,44,10.72,1.15,0.93,-2.3,-2.5,0.1,-1.5,0.3,-0.1,"$83,500,000",3.9%,"$88,000,000",0.9%,1.1%,MTL,30,0
Kasperi,Kapanen,2024,Center,STL,0,Right,73,194,25,2,"$3,200,000",27,UFA,1,"$1,000,000",2,"$1,409,517",73,6,16,22,14,43,46,12.32,0.53,1.18,0.9,0.1,-1.9,-2.7,1.1,-0.4,"$83,500,000",3.8%,"$88,000,000",1.1%,1.6%,STL,22,0
Matt,Roy,2024,Defenseman,LA,0,Right,73,205,26,3,"$3,150,000",29,UFA,6,"$5,750,000",6,"$5,482,471",81,5,20,25,42,56,54,17.3,0.18,2.73,4.7,3.8,-0.2,2.3,1.6,-1.4,"$83,500,000",3.8%,"$88,000,000",6.5%,6.2%,L.A,194,0
Marcus,Foligno,2024,Winger,MIN,1,Left,75,227,29,3,"$3,100,000",32,UFA,4,"$4,000,000",4,"$3,776,650",55,10,12,22,59,53,52,11.58,0.5,2.08,1.3,3.9,-1.3,-1.6,-0.1,-0.1,"$83,500,000",3.7%,"$88,000,000",4.5%,4.3%,MIN,104,0
Ryan,Lindgren,2024,Defenseman,NYR,1,Left,72,194,23,3,"$3,000,000",26,RFA+ARB,1,"$4,500,000",2,"$4,150,509",76,3,14,17,36,55,49,16.13,0.02,2.68,3.4,-2,0,0.4,0.2,1.5,"$83,500,000",3.6%,"$88,000,000",5.1%,4.7%,NYR,49,0
Martin,Necas,2024,Center,CAR,0,Right,74,194,23,2,"$3,000,000",25,RFA+ARB,2,"$6,500,000",3,"$6,279,813",77,24,29,53,42,46,57,14.4,2,0.1,5.8,-6,-0.9,0.2,0,0.6,"$83,500,000",3.6%,"$88,000,000",7.4%,7.1%,CAR,12,0
Matt,Duchene,2024,Center,DAL,1,Left,71,212,32,1,"$3,000,000",33,UFA,1,"$3,000,000",2,"$3,219,146",80,25,40,65,20,60,49,13.82,1.95,0.15,8.7,-2,2.8,0.1,1.3,-0.6,"$83,500,000",3.6%,"$88,000,000",3.4%,3.7%,DAL,3,0
Ian,Cole,2024,Defenseman,VAN,1,Left,73,238,34,1,"$3,000,000",35,UFA,1,"$3,100,000",1,"$3,049,455",78,2,9,11,61,55,49,15.48,0.1,2.5,1.8,6,-0.1,1.5,-0.8,-0.1,"$83,500,000",3.6%,"$88,000,000",3.5%,3.5%,VAN,18,0
Derek,Forbort,2024,Defenseman,BOS,1,Left,76,216,29,3,"$3,000,000",32,UFA,1,"$1,500,000",1,"$1,851,933",35,0,4,4,17,57,45,14.32,0.03,2.7,1.3,4.6,0,1.1,0.8,-0.3,"$83,500,000",3.6%,"$88,000,000",1.7%,2.1%,BOS,15,0
Dylan,Demelo,2024,Defenseman,WPG,0,Right,73,194,27,4,"$3,000,000",31,UFA,4,"$4,900,000",4,"$4,875,565",82,3,28,31,36,64,51,18.58,0.08,2.45,9.8,2.3,0.2,1.3,0.3,0.1,"$83,500,000",3.6%,"$88,000,000",5.6%,5.5%,WPG,178,0
Anthony,Duclair,2024,Center,TB,1,Left,71,196,25,3,"$3,000,000",28,UFA,4,"$3,500,000",4,"$3,551,336",73,24,18,42,34,50,43,13.48,1.62,0.07,8.1,-0.2,4.3,-0.1,0.6,0,"$83,500,000",3.6%,"$88,000,000",4.0%,4.0%,S.J/T.B,80,0
Max,Domi,2024,Center,TOR,1,Left,70,207,28,1,"$3,000,000",29,UFA,4,"$3,750,000",4,"$3,619,711",80,9,38,47,118,57,51,12.28,1.18,0,16,-3.5,0.1,0,-0.5,-0.8,"$83,500,000",3.6%,"$88,000,000",4.3%,4.1%,TOR,12,0
